#{"t_start": 1778267186.480947, "env_id": "None"}
r,l,t
700.0,22,39.242914
700.0,3,39.245063
700.0,16,39.255909
700.0,11,39.263417
700.0,8,39.268773
700.0,3,39.27088
700.0,27,39.289249
700.0,4,39.292067
0.0,50,39.325613
700.0,3,39.327927
700.0,28,39.346802
700.0,19,39.359755
700.0,3,39.361906
700.0,41,39.389604
700.0,3,39.391739
-200.0,50,39.425036
700.0,9,39.431499
700.0,12,39.439666
700.0,3,39.44184
700.0,3,39.444005
0.0,50,39.477877
700.0,44,39.507113
700.0,5,39.510821
700.0,16,39.521808
700.0,7,39.527458
700.0,4,39.530439
700.0,5,39.533916
700.0,4,39.536833
700.0,5,39.540698
700.0,3,39.542889
0.0,50,39.576971
700.0,3,39.579325
700.0,7,39.584624
700.0,16,39.595578
700.0,7,39.600621
700.0,3,39.602908
700.0,3,39.605338
700.0,21,39.619748
700.0,6,39.624412
700.0,49,39.659722
700.0,16,39.671835
700.0,4,39.675282
700.0,3,39.677812
700.0,33,39.702324
700.0,7,39.70791
700.0,5,40.158114
700.0,45,40.192832
700.0,5,40.196446
700.0,3,40.198623
700.0,3,40.200922
700.0,16,40.212806
700.0,3,40.215003
700.0,41,40.245526
700.0,3,40.247737
700.0,4,40.250615
700.0,8,40.256196
700.0,3,40.258499
700.0,38,40.286454
700.0,12,40.294812
700.0,5,40.298395
700.0,7,40.303319
700.0,3,40.305498
700.0,11,40.31303
700.0,3,40.315247
700.0,3,40.317441
700.0,3,40.319618
700.0,12,40.328118
700.0,4,40.330957
700.0,5,40.334421
700.0,8,40.339943
700.0,3,40.342127
700.0,6,40.346268
700.0,4,40.34882
700.0,11,40.356196
700.0,28,40.379097
700.0,3,40.381402
700.0,4,40.38435
700.0,4,40.387077
100.0,50,40.450161
700.0,29,40.471468
700.0,4,40.474308
700.0,3,40.476915
700.0,3,40.479528
0.0,50,40.513311
700.0,18,40.525845
700.0,8,40.53135
0.0,50,40.566157
700.0,3,40.568551
700.0,35,40.592887
700.0,10,40.599654
700.0,3,40.602017
100.0,50,40.636151
700.0,4,40.639082
700.0,11,40.646433
700.0,44,40.677319
700.0,30,40.698874
700.0,4,40.701711
700.0,21,40.717387
700.0,3,40.719787
700.0,3,40.722168
700.0,4,40.725136
700.0,5,40.729005
700.0,37,40.754469
700.0,5,40.758095
700.0,3,40.760453
700.0,4,40.763541
700.0,8,40.769227
700.0,3,40.77146
700.0,3,40.773649
700.0,44,40.805228
700.0,5,40.809006
700.0,3,40.811287
700.0,3,40.813567
700.0,17,40.825329
700.0,3,40.827693
700.0,7,40.832581
-100.0,50,40.866843
700.0,4,40.869947
700.0,4,40.872761
700.0,6,40.877219
700.0,3,40.879405
700.0,4,40.882264
700.0,4,40.885107
700.0,4,40.887953
700.0,11,40.89546
700.0,18,40.907441
700.0,6,40.911585
700.0,3,40.913792
700.0,10,41.362494
700.0,3,41.364666
700.0,9,41.371132
700.0,28,41.390929
700.0,21,41.405851
700.0,5,41.409492
700.0,5,41.412971
700.0,3,41.415112
700.0,5,41.418668
700.0,36,41.443285
700.0,4,41.44618
700.0,26,41.46438
700.0,8,41.470011
700.0,3,41.47224
700.0,4,41.475158
700.0,10,41.48215
700.0,5,41.485692
700.0,23,41.501411
700.0,4,41.504283
700.0,5,41.507875
700.0,3,41.510064
700.0,3,41.512255
700.0,3,41.514446
700.0,7,41.519327
700.0,4,41.522197
700.0,9,41.52863
700.0,41,41.560947
700.0,5,41.564701
700.0,5,41.570335
700.0,5,41.57475
700.0,4,41.577803
700.0,33,41.600944
700.0,4,41.604036
700.0,5,41.608051
700.0,3,41.610337
-100.0,50,41.644094
700.0,3,41.646438
-200.0,50,41.680278
700.0,35,41.704858
700.0,14,41.714613
700.0,4,41.717555
700.0,21,41.734255
700.0,3,41.736939
700.0,8,41.742333
700.0,23,41.758096
700.0,3,41.760304
700.0,5,41.763806
700.0,5,41.767316
700.0,43,41.797678
700.0,5,41.801167
700.0,16,41.812373
700.0,3,41.814546
700.0,33,41.837016
700.0,3,41.839661
700.0,4,41.844441
0.0,50,41.883268
700.0,4,41.886845
700.0,3,41.889196
700.0,4,41.892434
700.0,6,41.897772
700.0,6,41.903136
700.0,21,41.921416
700.0,4,41.924969
700.0,3,41.927808
700.0,5,41.932809
700.0,4,41.936935
700.0,9,41.945441
700.0,3,41.948583
700.0,4,41.95247
700.0,4,41.956268
700.0,14,41.968251
700.0,3,41.97088
700.0,4,41.974171
700.0,4,41.97755
700.0,3,41.980404
700.0,3,41.983344
700.0,12,41.994082
700.0,4,41.997668
700.0,6,42.003236
700.0,16,42.016527
700.0,19,42.030402
700.0,5,42.034551
700.0,3,42.037128
700.0,3,42.039723
700.0,3,42.042262
700.0,6,42.047039
700.0,10,42.053949
700.0,3,42.056092
700.0,3,42.05823
700.0,3,42.060386
700.0,6,42.064537
100.0,50,42.099078
700.0,3,42.101402
700.0,3,42.103694
700.0,4,42.106638
700.0,8,42.112224
700.0,28,42.570252
700.0,3,42.572474
700.0,8,42.578544
700.0,7,42.583494
700.0,5,42.587326
700.0,8,42.592896
700.0,6,42.597143
700.0,13,42.606078
700.0,3,42.608289
700.0,3,42.610459
700.0,6,42.614676
700.0,3,42.617314
700.0,7,42.622195
700.0,9,42.628484
700.0,9,42.634638
700.0,4,42.63747
700.0,3,42.639654
700.0,3,42.641811
700.0,43,42.671848
700.0,4,42.674817
700.0,3,42.676988
700.0,7,42.682062
700.0,9,42.688426
700.0,4,42.691275
700.0,3,42.693491
-200.0,50,42.727846
700.0,3,42.730255
700.0,5,42.73385
700.0,6,42.738124
700.0,8,42.743697
700.0,4,42.746577
700.0,29,42.766245
700.0,7,42.770843
700.0,3,42.772872
700.0,8,42.80462
700.0,3,42.806986
700.0,5,42.811565
700.0,3,42.813556
700.0,3,42.815786
700.0,5,42.819955
700.0,4,42.82318
700.0,19,42.837894
700.0,3,42.84007
700.0,7,42.844748
700.0,5,42.848302
700.0,41,42.878615
700.0,35,42.902221
700.0,6,42.906582
700.0,4,42.909407
700.0,11,42.917213
700.0,3,42.919387
